Customer ID,Customer Name,Email,Phone Number,Address Line 1,City,Country,Postcode,Loyalty Card
CUST-77807-US,Adam Bryan,3248234@hotmail.com,819082667560,019 Steven Passage Suite 363,West Debbiestad,Japan,34862,No
CUST-85804-US,Tara Nelson,38045770@yahoo.com,5519998174843,38869 Molina Gateway,Jessicatown,Brazil,17473,No
CUST-42474-EU,Caleb Hamilton,chamilton610@gmail.com,27731465191,7557 Contreras Ramp Apt. 872,East Sarah,South Africa,43659,No
CUST-91015-AF,Lisa Lopez,llopez61@hotmail.com,818003621333,0869 Mike Road,Samanthaberg,Japan,90528,No
CUST-26320-AF,Anna Irwin,airwin90@hotmail.com,19694739634,489 Lauren Manor,South Bobby,United States,84895,No
CUST-44890-AF,Carol Harris,charris1330@hotmail.com,5523966846408,11541 Edgar Mount,Pearsontown,Brazil,4052,Yes
CUST-31802-US,Glenn Johnson,gjohnson67@hotmail.com,27853747113,43483 Mason Square Apt. 771,Johnsonmouth,South Africa,12003,No
CUST-76388-SA,Jorge Vazquez,jvazquez0918@hotmail.com,17599188694,76415 Nicholas Crossing Apt. 822,Amyburgh,United States,58273,No
CUST-83799-US,Todd Harrell,tharrell13@gmail.com,19712753502,67068 Zimmerman Ports Apt. 541,East Kristi,United States,32963,No
CUST-29921-EU,Brett Perry,bperry12@hotmail.com,16164644507,313 King Crossing,Port Neil,United States,98622,Yes
CUST-28586-EU,Nancy Hall,nhall197@gmail.com,19406723133,234 Crystal Ford,Knightport,United States,22618,Yes
CUST-26227-US,Susan Rivera,srivera792@yahoo.com,817044317202,63681 Edwards Junction Apt. 311,Rogerburgh,Japan,64441,No
CUST-58393-SA,Shane Robinson,967514411@hotmail.com,818078801146,46751 Sean Shore Apt. 207,Michaelton,Japan,66274,No
CUST-44603-US,Deanna Hamilton,74406383@yahoo.com,818065556755,53770 Swanson Glen Suite 617,Cherylborough,Japan,60082,No
CUST-35244-SA,Christopher Lucero,clucero0593@gmail.com,27757908722,887 Bowman Mountains Apt. 071,North Joshuamouth,South Africa,22052,No
CUST-62645-AF,Daryl Ryan,dryan88@yahoo.com,27613478018,5880 Johnson Shores Suite 474,East Laurenberg,South Africa,59832,Yes
CUST-84995-SA,Adam Brown,abrown245@gmail.com,27807624086,259 Chapman Meadow Suite 586,East Michaelton,South Africa,1025,Yes
CUST-26334-EU,Zachary Knapp,0138444@yahoo.com,4915491566747,8460 Decker Ways,Gutierrezstad,Germany,39228,Yes
CUST-77884-AF,Holly Shelton,23787212@yahoo.com,27880787927,06280 Amanda Light,Zamorafort,South Africa,26943,No
CUST-36186-AF,Mr. Mark Nguyen,mnguyen05@yahoo.com,817075873708,25813 Mccormick Village Apt. 090,Josephborough,Japan,98168,No
CUST-67168-AF,Tammy Pierce,tpierce8988@yahoo.com,818092519522,63358 David Spur Suite 955,Jenniferton,Japan,9307,Yes
CUST-30521-AF,Melissa Hawkins,mhawkins86@gmail.com,4917901621411,93329 Aguilar Lake Suite 005,Bonniestad,Germany,77475,Yes
CUST-32601-AF,Steven Rogers II,sii3490@yahoo.com,491676983010,5739 Linda Throughway,South Brandifurt,Germany,3358,No
CUST-48038-US,Joshua Stone,1670861@gmail.com,27745619685,82668 Montgomery Hills Apt. 860,East Laurie,South Africa,15961,Yes
CUST-34135-EU,Matthew Blackwell,mblackwell27@yahoo.com,5518970948980,850 Medina Springs Apt. 106,East Charleschester,Brazil,96728,Yes
CUST-10949-EU,Sarah Baker,sbaker48@gmail.com,4916301772699,58717 Benjamin Fields,Josephstad,Germany,68754,Yes
CUST-95003-US,Paul Murray,pmurray96@hotmail.com,14428207452,059 Chang Bridge Apt. 304,Moraleston,United States,78387,Yes
CUST-22016-AS,Shawn Johnson,sjohnson23@yahoo.com,818009779876,166 Simmons Parkway,Marilyntown,Japan,62949,Yes
CUST-42657-AS,Christopher Duncan,cduncan425@hotmail.com,17225339501,2238 Scott Wells,Benitezbury,United States,4646,No
CUST-91259-US,Toni Palmer,tpalmer263@gmail.com,819065477075,8167 Troy Club Suite 291,Jamesfort,Japan,1897,No
CUST-80201-EU,Barry Stevens,bstevens218@gmail.com,817021154122,96570 Ellis Trail,Manuelmouth,Japan,84467,No
CUST-70444-US,Laura Curry,lcurry65@hotmail.com,4917750269458,18820 Mcknight Ports,West Mckenziemouth,Germany,99433,No
