Order ID,Order Date,Customer ID,Product ID,Quantity,Customer Name,Email,Country,Product,Service Tier,Loan Term (Years),Unit Price,Sales,Loyalty Card
FTX-23936-637,2019-01-01,CUST-77807-US,PRD-0,3,Adam Bryan,3248234@hotmail.com,Japan,Money Transfers,VIP,5,5.206033333333333,15.618099999999998,No
FTX-18388-985,2019-01-01,CUST-85804-US,PRD-1,4,Tara Nelson,chamilton610@gmail.com,Brazil,Loans,VIP,10,16.1738,64.6952,No
FTX-63639-131,2019-01-01,CUST-42474-EU,PRD-2,1,Caleb Hamilton,airwin90@hotmail.com,South Africa,Credit Cards,Premium,1,1.398666666666667,1.398666666666667,No
FTX-59590-210,2019-01-02,CUST-91015-AF,PRD-3,3,Lisa Lopez,gjohnson67@hotmail.com,Japan,Investments,VIP,5,6.326633333333334,18.979900000000004,No
FTX-60536-192,2019-01-02,CUST-26320-AF,PRD-4,3,Anna Irwin,tharrell13@gmail.com,United States,Loans,Standard,5,4.113433333333333,12.3403,No
FTX-47893-504,2019-01-03,CUST-44890-AF,PRD-5,4,Carol Harris,nhall197@gmail.com,Brazil,Loans,Premium,10,8.2266,32.9064,Yes
FTX-74356-185,2019-01-03,CUST-31802-US,PRD-6,1,Glenn Johnson,967514411@hotmail.com,South Africa,Loans,Premium,1,0.7247666666666668,0.7247666666666668,No
FTX-31863-292,2019-01-04,CUST-76388-SA,PRD-7,1,Jorge Vazquez,clucero0593@gmail.com,United States,Loans,Premium,1,1.532833333333333,1.532833333333333,No
FTX-15074-600,2019-01-04,CUST-83799-US,PRD-8,3,Todd Harrell,abrown245@gmail.com,United States,Credit Cards,VIP,5,6.3389,19.0167,No
FTX-33718-204,2019-01-04,CUST-29921-EU,PRD-9,2,Brett Perry,23787212@yahoo.com,United States,Credit Cards,Standard,3,4.124233333333334,8.248466666666667,Yes
FTX-18297-431,2019-01-05,CUST-28586-EU,PRD-10,3,Nancy Hall,tpierce8988@yahoo.com,United States,Investments,VIP,5,3.436266666666667,10.308800000000002,Yes
FTX-98613-901,2019-01-05,CUST-26227-US,PRD-11,3,Susan Rivera,sii3490@yahoo.com,Japan,Investments,Premium,5,8.182866666666667,24.5486,No
FTX-19939-169,2019-01-06,CUST-58393-SA,PRD-12,3,Shane Robinson,mblackwell27@yahoo.com,Japan,Money Transfers,Premium,5,7.495533333333334,22.486600000000003,No
FTX-10006-766,2019-01-06,CUST-44603-US,PRD-13,3,Deanna Hamilton,pmurray96@hotmail.com,Japan,Credit Cards,Premium,5,4.395033333333334,13.185100000000002,No
FTX-32756-161,2019-01-07,CUST-35244-SA,PRD-14,4,Christopher Lucero,cduncan425@hotmail.com,South Africa,Loans,Premium,10,8.4849,33.9396,No
FTX-82115-484,2019-01-07,CUST-62645-AF,PRD-15,1,Daryl Ryan,bstevens218@gmail.com,South Africa,Loans,VIP,1,0.8500666666666667,0.8500666666666667,Yes
FTX-34344-850,2019-01-08,CUST-84995-SA,PRD-16,4,Adam Brown,ecarter9830@gmail.com,South Africa,Money Transfers,Standard,10,9.7091,38.8364,Yes
FTX-31142-921,2019-01-08,CUST-26334-EU,PRD-17,4,Zachary Knapp,jcox541@gmail.com,Germany,Loans,Standard,10,11.91423333333333,47.65693333333332,Yes
FTX-41898-989,2019-01-08,CUST-77884-AF,PRD-18,4,Holly Shelton,mjohnson9655@gmail.com,South Africa,Money Transfers,Premium,10,10.98613333333333,43.94453333333332,No
FTX-46159-750,2019-01-09,CUST-36186-AF,PRD-19,3,Mr. Mark Nguyen,ocastillo327@yahoo.com,Japan,Investments,Standard,5,4.789466666666667,14.368400000000001,No
FTX-42205-290,2019-01-09,CUST-67168-AF,PRD-20,2,Tammy Pierce,lpeck45@hotmail.com,Japan,Credit Cards,Premium,3,3.835566666666667,7.671133333333334,Yes
FTX-29517-748,2019-01-10,CUST-30521-AF,PRD-21,1,Melissa Hawkins,gvalenzuela9954@gmail.com,Germany,Money Transfers,Premium,1,0.8061666666666667,0.8061666666666667,Yes
FTX-54641-462,2019-01-10,CUST-32601-AF,PRD-22,2,Steven Rogers II,alopez68@hotmail.com,Germany,Loans,Standard,3,2.876433333333333,5.752866666666666,No
FTX-93307-281,2019-01-11,CUST-48038-US,PRD-23,4,Joshua Stone,bpalmer347@hotmail.com,South Africa,Money Transfers,Premium,10,10.3303,41.3212,Yes
FTX-95703-566,2019-01-11,CUST-34135-EU,PRD-24,4,Matthew Blackwell,dhudson9782@gmail.com,Brazil,Investments,Standard,10,11.22736666666667,44.90946666666668,Yes
FTX-48242-586,2019-01-11,CUST-10949-EU,PRD-25,2,Sarah Baker,dgordon14@gmail.com,Germany,Loans,Premium,3,4.355533333333334,8.711066666666667,Yes
FTX-28474-456,2019-01-12,CUST-95003-US,PRD-26,2,Paul Murray,rmartin5141@gmail.com,United States,Investments,Standard,3,2.599033333333333,5.198066666666666,Yes
FTX-15904-181,2019-01-12,CUST-22016-AS,PRD-27,2,Shawn Johnson,rbarrett7415@hotmail.com,Japan,Investments,Premium,3,3.5427,7.0854,Yes
FTX-54860-612,2019-01-13,CUST-42657-AS,PRD-28,4,Christopher Duncan,bcunningham5440@gmail.com,United States,Money Transfers,Standard,10,12.5908,50.3632,No
FTX-54644-580,2019-01-13,CUST-91259-US,PRD-29,4,Toni Palmer,tparker58@gmail.com,Japan,Investments,Premium,10,7.131166666666666,28.524666666666665,No
FTX-70398-773,2019-01-14,CUST-80201-EU,PRD-30,1,Barry Stevens,dmcgee40@yahoo.com,Japan,Loans,Premium,1,1.2742,1.2742,No
FTX-99241-360,2019-01-14,CUST-70444-US,PRD-31,1,Laura Curry,tdds91@yahoo.com,Germany,Investments,Premium,1,0.8372,0.8372,No
FTX-38791-634,2019-01-15,CUST-98272-AS,PRD-32,4,Erin Carter,ayoder06@hotmail.com,Germany,Investments,Standard,10,7.317166666666667,29.268666666666668,Yes
FTX-37709-486,2019-01-15,CUST-36780-AS,PRD-33,2,Patricia Snow,djimenez1574@yahoo.com,United States,Money Transfers,VIP,3,4.846666666666667,9.693333333333333,No
FTX-80590-199,2019-01-15,CUST-34394-US,PRD-34,2,Jeffery Cox,rgordon35@yahoo.com,Japan,Investments,Premium,3,4.8969,9.7938,Yes
FTX-66683-606,2019-01-16,CUST-67756-EU,PRD-35,1,Ashley Blake,jmiller02@gmail.com,United States,Credit Cards,Premium,1,1.475066666666667,1.475066666666667,Yes
FTX-50637-287,2019-01-16,CUST-52423-SA,PRD-36,4,Michael Johnson,djensen18@gmail.com,Brazil,Money Transfers,Standard,10,9.7128,38.8512,No
FTX-99179-339,2019-01-17,CUST-78037-EU,PRD-37,1,Jacob Parker,kle15@gmail.com,United States,Money Transfers,Premium,1,0.7643333333333334,0.7643333333333334,No
FTX-90672-822,2019-01-17,CUST-61073-AF,PRD-38,1,Omar Castillo,mjohnson732@gmail.com,South Africa,Loans,Premium,1,1.3509,1.3509,No
FTX-49118-731,2019-01-18,CUST-26938-US,PRD-39,3,Daniel Taylor,rking45@yahoo.com,United States,Loans,Premium,5,5.5341,16.6023,No
FTX-21526-496,2019-01-18,CUST-39463-EU,PRD-40,3,Lori Peck,clynch022@gmail.com,South Africa,Loans,Premium,5,3.943533333333333,11.830599999999999,Yes
FTX-52923-306,2019-01-18,CUST-62426-US,PRD-41,3,Shane Roy,rbowman98@gmail.com,South Africa,Loans,VIP,5,5.809233333333333,17.4277,Yes
FTX-38870-890,2019-01-19,CUST-92670-AS,PRD-42,2,Gregory Valenzuela,bwoods1657@gmail.com,South Africa,Credit Cards,VIP,3,2.103166666666667,4.206333333333334,Yes
FTX-87724-518,2019-01-19,CUST-50163-US,PRD-43,4,James Jensen,sadams9519@hotmail.com,Brazil,Money Transfers,Premium,10,15.75986666666667,63.03946666666668,No
FTX-88503-931,2019-01-20,CUST-81791-SA,PRD-44,4,Amanda Lopez,bjordan4520@hotmail.com,United States,Investments,Premium,10,9.254466666666666,37.01786666666666,No
FTX-40631-620,2019-01-20,CUST-66485-EU,PRD-45,4,Eric Cook,93018190@hotmail.com,United States,Loans,Premium,10,13.2919,53.1676,Yes
FTX-11336-546,2019-01-21,CUST-11885-AS,PRD-46,4,Brian Palmer,dburke1172@gmail.com,Brazil,Loans,VIP,10,9.783766666666667,39.13506666666667,Yes
FTX-49501-798,2019-01-21,CUST-47679-EU,PRD-47,3,Sean Allen,jvaughn23@hotmail.com,Japan,Loans,VIP,5,5.933666666666667,17.801000000000002,No
FTX-43871-681,2019-01-22,CUST-53690-EU,PRD-48,2,Daniel Hudson,afischer714@gmail.com,Germany,Investments,Standard,3,3.640133333333333,7.280266666666666,No
FTX-11827-262,2019-01-22,CUST-85554-AF,PRD-49,2,Patrick Johnson,2658581@yahoo.com,United States,Loans,Standard,3,2.554566666666667,5.109133333333334,Yes
FTX-59612-132,2019-01-22,CUST-45702-AS,PRD-50,3,Daniel Gordon,dhughes967@yahoo.com,Germany,Investments,Premium,5,8.181266666666668,24.543800000000005,Yes
FTX-15162-318,2019-01-23,CUST-99848-US,PRD-51,2,Mrs. Kelly Chapman,376694623@hotmail.com,Brazil,Money Transfers,Premium,3,4.3254,8.6508,Yes
FTX-56370-928,2019-01-23,CUST-11169-AF,PRD-52,3,Rachael Martin,kchapman483@yahoo.com,Japan,Money Transfers,VIP,5,8.030833333333334,24.0925,No
FTX-87731-874,2019-01-24,CUST-46274-AS,PRD-53,4,Jacob Johnson,5876183@hotmail.com,Japan,Money Transfers,Premium,10,15.61493333333333,62.45973333333332,Yes
FTX-99600-281,2019-01-24,CUST-41554-EU,PRD-54,3,Robert Barrett,tdurham144@hotmail.com,Japan,Credit Cards,Premium,5,6.322833333333334,18.968500000000002,Yes
FTX-31364-665,2019-01-25,CUST-32636-EU,PRD-55,4,Jeffrey Flores,ccoleman7882@yahoo.com,Brazil,Investments,VIP,10,15.8854,63.5416,No
FTX-52420-301,2019-01-25,CUST-48324-EU,PRD-56,4,Beth Cunningham,rkelly5899@gmail.com,South Africa,Loans,VIP,10,7.551600000000001,30.206400000000006,Yes
FTX-73118-606,2019-01-25,CUST-32741-US,PRD-57,1,Katelyn Wilson,ichoi57@gmail.com,South Africa,Loans,VIP,1,0.8626333333333335,0.8626333333333335,Yes
FTX-29038-710,2019-01-26,CUST-31579-AF,PRD-58,3,Todd Parker,tjackson920@yahoo.com,Germany,Loans,VIP,5,3.559466666666666,10.678399999999998,Yes
FTX-11252-217,2019-01-26,CUST-77698-EU,PRD-59,1,Julia Harrison,mpeters7783@hotmail.com,South Africa,Loans,Standard,1,0.992,0.992,No
FTX-14273-952,2019-01-27,CUST-23394-US,PRD-60,3,Daniel Mcgee,imorales901@gmail.com,South Africa,Credit Cards,VIP,5,5.276733333333333,15.830199999999998,No
FTX-98132-554,2019-01-27,CUST-64100-US,PRD-61,3,Joshua Kidd,rlopez705@yahoo.com,Japan,Loans,VIP,5,4.690066666666667,14.0702,Yes
FTX-91661-331,2019-01-28,CUST-95062-EU,PRD-62,1,Tammy Mccullough DDS,mcole368@hotmail.com,Japan,Credit Cards,Premium,1,1.4954,1.4954,No
FTX-68871-517,2019-01-28,CUST-15568-SA,PRD-63,1,Caitlin Oconnor,62432952@yahoo.com,Germany,Investments,Premium,1,1.023433333333333,1.023433333333333,Yes
FTX-48563-448,2019-01-29,CUST-66527-AF,PRD-64,3,Angel Yoder,kgibbs463@yahoo.com,United States,Money Transfers,Premium,5,4.738,14.214000000000002,Yes
FTX-70092-304,2019-01-29,CUST-16447-AS,PRD-65,2,Barbara Baker,sdawson07@gmail.com,Germany,Loans,Standard,3,3.6281,7.2562,No
FTX-97159-970,2019-01-29,CUST-28353-SA,PRD-66,4,Donald Jimenez,kbell8105@hotmail.com,Germany,Money Transfers,VIP,10,8.0759,32.3036,Yes
FTX-54570-377,2019-01-30,CUST-45553-EU,PRD-67,1,Mary Hart,rclark8384@gmail.com,Brazil,Investments,VIP,1,1.468866666666667,1.468866666666667,No
FTX-41627-734,2019-01-30,CUST-58440-AF,PRD-68,4,Russell Gordon,tkent84@gmail.com,Brazil,Investments,Standard,10,7.412166666666668,29.64866666666667,No
FTX-64119-767,2019-01-31,CUST-12562-SA,PRD-69,2,Thomas Kent,mdavis64@hotmail.com,Germany,Loans,VIP,3,4.960666666666667,9.921333333333333,Yes
FTX-57367-733,2019-01-31,CUST-65726-US,PRD-70,2,Johnny Miller,99293622@gmail.com,Germany,Investments,Premium,3,4.316733333333334,8.633466666666669,Yes
FTX-82468-155,2019-02-01,CUST-59820-SA,PRD-71,2,David Torres,jthomas69@gmail.com,Germany,Money Transfers,Standard,3,2.596133333333333,5.192266666666666,No
FTX-12367-709,2019-02-01,CUST-51321-EU,PRD-72,1,Daniel Jensen,bwolfe95@gmail.com,South Africa,Loans,VIP,1,0.6722,0.6722,No
FTX-79107-251,2019-02-01,CUST-62775-AS,PRD-73,2,Stanley Waters,29340454@gmail.com,Brazil,Credit Cards,Standard,3,4.446400000000001,8.892800000000001,Yes
FTX-52081-226,2019-02-02,CUST-25225-AF,PRD-74,1,Kelli Le,jnolan387@gmail.com,Germany,Loans,Standard,1,1.373533333333333,1.373533333333333,No
FTX-60115-123,2019-02-02,CUST-93111-EU,PRD-75,2,Karen Cook,gprice30@yahoo.com,Japan,Money Transfers,VIP,3,4.187033333333334,8.374066666666668,Yes
FTX-98434-712,2019-02-03,CUST-30300-SA,PRD-76,4,Mario Johnson,srichardson587@yahoo.com,Japan,Loans,Premium,10,14.37936666666667,57.51746666666668,Yes
FTX-97265-126,2019-02-03,CUST-58370-SA,PRD-77,4,Timothy Andersen,pgriffin6463@gmail.com,South Africa,Loans,VIP,10,7.4071,29.6284,No
FTX-40584-915,2019-02-04,CUST-19294-AF,PRD-78,3,Riley King,ljohnson7652@gmail.com,South Africa,Money Transfers,VIP,5,5.125666666666667,15.376999999999999,Yes
FTX-95147-957,2019-02-04,CUST-74441-AF,PRD-79,4,Christian Perkins,dmorris7907@hotmail.com,United States,Loans,Premium,10,7.825366666666667,31.301466666666666,No
FTX-48720-599,2019-02-05,CUST-10048-SA,PRD-80,3,Carl Lynch,05319244@gmail.com,United States,Loans,VIP,5,7.648866666666667,22.9466,Yes
FTX-34817-896,2019-02-05,CUST-57337-AS,PRD-81,4,Alyssa Patterson,hwhite57@gmail.com,United States,Money Transfers,VIP,10,12.89963333333333,51.59853333333332,Yes
FTX-38200-333,2019-02-05,CUST-25420-US,PRD-82,1,Rachel Bowman,lsimmons17@hotmail.com,South Africa,Investments,VIP,1,0.9975666666666666,0.9975666666666666,Yes
FTX-82884-506,2019-02-06,CUST-39977-AS,PRD-83,4,Laura Mooney,3443198@hotmail.com,South Africa,Money Transfers,Standard,10,7.302266666666667,29.20906666666667,Yes
FTX-94191-661,2019-02-06,CUST-65373-US,PRD-84,3,Benjamin Woods,mwade92@gmail.com,South Africa,Loans,Standard,5,4.888233333333333,14.6647,Yes
FTX-55821-761,2019-02-07,CUST-37222-SA,PRD-85,3,Mr. Steven Williams,8627020@gmail.com,Japan,Credit Cards,Standard,5,4.959233333333334,14.8777,Yes
FTX-84858-516,2019-02-07,CUST-50479-US,PRD-86,2,Sandra Adams,5230742@hotmail.com,South Africa,Credit Cards,VIP,3,4.188833333333334,8.377666666666668,No
FTX-34850-253,2019-02-08,CUST-95874-SA,PRD-87,1,Monique Woods,rramos8892@hotmail.com,Japan,Money Transfers,Premium,1,1.304233333333333,1.304233333333333,No
FTX-82999-531,2019-02-08,CUST-95512-EU,PRD-88,4,Barbara Jordan,jwade9133@yahoo.com,United States,Credit Cards,Standard,10,15.5388,62.1552,Yes
FTX-93449-344,2019-02-09,CUST-34806-AS,PRD-89,2,Jimmy Sims,pmartinez84@hotmail.com,United States,Loans,Premium,3,3.416633333333334,6.833266666666668,No
